"Notes","Census Division","Census Division Code","Year","Year Code","Month","Month Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Division 4: West North Central","CENS-D4","2006","2006","Feb., 2006","2006/02","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Feb., 2006","2006/02","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Mar., 2006","2006/03","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Mar., 2006","2006/03","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Mar., 2006","2006/03","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Mar., 2006","2006/03","15-24 years","15-24",16,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Mar., 2006","2006/03","25-34 years","25-34",29,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Mar., 2006","2006/03","35-44 years","35-44",36,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Mar., 2006","2006/03","45-54 years","45-54",39,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Mar., 2006","2006/03","55-64 years","55-64",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Mar., 2006","2006/03","65-74 years","65-74",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Mar., 2006","2006/03","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Mar., 2006","2006/03","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Mar., 2006","2006/03","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Apr., 2006","2006/04","< 1 year","1",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Apr., 2006","2006/04","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Apr., 2006","2006/04","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Apr., 2006","2006/04","15-24 years","15-24",12,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Apr., 2006","2006/04","25-34 years","25-34",36,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Apr., 2006","2006/04","35-44 years","35-44",36,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Apr., 2006","2006/04","45-54 years","45-54",45,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Apr., 2006","2006/04","55-64 years","55-64",13,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Apr., 2006","2006/04","65-74 years","65-74",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Apr., 2006","2006/04","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Apr., 2006","2006/04","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Apr., 2006","2006/04","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","May, 2006","2006/05","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","May, 2006","2006/05","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","May, 2006","2006/05","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","May, 2006","2006/05","15-24 years","15-24",12,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","May, 2006","2006/05","25-34 years","25-34",35,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","May, 2006","2006/05","35-44 years","35-44",54,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","May, 2006","2006/05","45-54 years","45-54",37,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","May, 2006","2006/05","55-64 years","55-64",13,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","May, 2006","2006/05","65-74 years","65-74",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","May, 2006","2006/05","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","May, 2006","2006/05","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","May, 2006","2006/05","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Jun., 2006","2006/06","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Jun., 2006","2006/06","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Jun., 2006","2006/06","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Jun., 2006","2006/06","15-24 years","15-24",21,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Jun., 2006","2006/06","25-34 years","25-34",30,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Jun., 2006","2006/06","35-44 years","35-44",58,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Jun., 2006","2006/06","45-54 years","45-54",38,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Jun., 2006","2006/06","55-64 years","55-64",15,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Jun., 2006","2006/06","65-74 years","65-74",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Jun., 2006","2006/06","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Jun., 2006","2006/06","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Jun., 2006","2006/06","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Jul., 2006","2006/07","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Jul., 2006","2006/07","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Jul., 2006","2006/07","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Jul., 2006","2006/07","15-24 years","15-24",22,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Jul., 2006","2006/07","25-34 years","25-34",29,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Jul., 2006","2006/07","35-44 years","35-44",49,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Jul., 2006","2006/07","45-54 years","45-54",51,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Jul., 2006","2006/07","55-64 years","55-64",12,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Jul., 2006","2006/07","65-74 years","65-74",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Jul., 2006","2006/07","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Jul., 2006","2006/07","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Jul., 2006","2006/07","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Aug., 2006","2006/08","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Aug., 2006","2006/08","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Aug., 2006","2006/08","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Aug., 2006","2006/08","15-24 years","15-24",17,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Aug., 2006","2006/08","25-34 years","25-34",30,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Aug., 2006","2006/08","35-44 years","35-44",41,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Aug., 2006","2006/08","45-54 years","45-54",37,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Aug., 2006","2006/08","55-64 years","55-64",13,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Aug., 2006","2006/08","65-74 years","65-74",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Aug., 2006","2006/08","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Aug., 2006","2006/08","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Aug., 2006","2006/08","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Sep., 2006","2006/09","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Sep., 2006","2006/09","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Sep., 2006","2006/09","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Sep., 2006","2006/09","15-24 years","15-24",16,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Sep., 2006","2006/09","25-34 years","25-34",32,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Sep., 2006","2006/09","35-44 years","35-44",27,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Sep., 2006","2006/09","45-54 years","45-54",42,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Sep., 2006","2006/09","55-64 years","55-64",21,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Sep., 2006","2006/09","65-74 years","65-74",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Sep., 2006","2006/09","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Sep., 2006","2006/09","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Sep., 2006","2006/09","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Oct., 2006","2006/10","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Oct., 2006","2006/10","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Oct., 2006","2006/10","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Oct., 2006","2006/10","15-24 years","15-24",12,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Oct., 2006","2006/10","25-34 years","25-34",29,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Oct., 2006","2006/10","35-44 years","35-44",50,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Oct., 2006","2006/10","45-54 years","45-54",51,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Oct., 2006","2006/10","55-64 years","55-64",14,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Oct., 2006","2006/10","65-74 years","65-74",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Oct., 2006","2006/10","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Oct., 2006","2006/10","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Oct., 2006","2006/10","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Nov., 2006","2006/11","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Nov., 2006","2006/11","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Nov., 2006","2006/11","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Nov., 2006","2006/11","15-24 years","15-24",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Nov., 2006","2006/11","25-34 years","25-34",28,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Nov., 2006","2006/11","35-44 years","35-44",40,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Nov., 2006","2006/11","45-54 years","45-54",45,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Nov., 2006","2006/11","55-64 years","55-64",16,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Nov., 2006","2006/11","65-74 years","65-74",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Nov., 2006","2006/11","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Nov., 2006","2006/11","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Nov., 2006","2006/11","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Dec., 2006","2006/12","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Dec., 2006","2006/12","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Dec., 2006","2006/12","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Dec., 2006","2006/12","15-24 years","15-24",12,Not Applicable,Not Applicable
,"Division 4: West North Central","CENS-D4","2006","2006","Dec., 2006","2006/12","25-34 years","25-34",27,Not Applicable,Not Applicable
